date,headline,source,sentiment,sentiment_score,link
2025-09-21,Google Cloud beats in cloud saas market,Protocol,positive,0.888,https://example.com/cloud-saas/google-cloud/90927
2025-09-13,Microsoft Azure states in cloud saas market,Forbes,neutral,0.049,https://example.com/cloud-saas/microsoft-azure/24019
2025-09-13,Salesforce introduces in cloud saas market,The Information,neutral,-0.016,https://example.com/cloud-saas/salesforce/38807
2025-09-12,Google Cloud downgrades in cloud saas market,CNBC,negative,-0.677,https://example.com/cloud-saas/google-cloud/96181
2025-09-07,Microsoft Azure updates in cloud saas market,VentureBeat,neutral,-0.036,https://example.com/cloud-saas/microsoft-azure/66444
2025-09-06,AWS tops in cloud saas market,Forbes,positive,0.459,https://example.com/cloud-saas/aws/423
2025-08-31,Microsoft Azure faces probe in cloud saas market,Engadget,negative,-0.218,https://example.com/cloud-saas/microsoft-azure/22434
2025-08-30,Google Cloud accelerates in cloud saas market,Forbes,positive,0.663,https://example.com/cloud-saas/google-cloud/36604
2025-08-29,Google Cloud notes in cloud saas market,Financial Times,neutral,-0.095,https://example.com/cloud-saas/google-cloud/21953
2025-08-27,Salesforce wins in cloud saas market,CNBC,positive,0.707,https://example.com/cloud-saas/salesforce/51756
2025-08-23,AWS announces in cloud saas market,Wall Street Journal,positive,0.592,https://example.com/cloud-saas/aws/9685
2025-08-14,Microsoft Azure updates in cloud saas market,Ars Technica,neutral,0.108,https://example.com/cloud-saas/microsoft-azure/66444
2025-08-07,Google Cloud mentions in cloud saas market,CNBC,neutral,0.163,https://example.com/cloud-saas/google-cloud/23656
2025-07-25,Salesforce mentions in cloud saas market,Protocol,neutral,0.169,https://example.com/cloud-saas/salesforce/8565
2025-07-24,AWS expands in cloud saas market,Wall Street Journal,positive,0.933,https://example.com/cloud-saas/aws/51455
2025-07-21,Microsoft Azure wins in cloud saas market,The Verge,positive,0.321,https://example.com/cloud-saas/microsoft-azure/21941
2025-07-18,Microsoft Azure files in cloud saas market,Wall Street Journal,neutral,-0.083,https://example.com/cloud-saas/microsoft-azure/91672
2025-07-18,AWS recalls in cloud saas market,Protocol,negative,-0.933,https://example.com/cloud-saas/aws/9199
2025-07-14,AWS cuts in cloud saas market,Ars Technica,negative,-0.245,https://example.com/cloud-saas/aws/55327
2025-07-10,Microsoft Azure updates in cloud saas market,VentureBeat,neutral,0.131,https://example.com/cloud-saas/microsoft-azure/66444
2025-07-08,Google Cloud mentions in cloud saas market,The Verge,neutral,0.013,https://example.com/cloud-saas/google-cloud/23656
2025-06-23,Salesforce delays in cloud saas market,Bloomberg,negative,-0.893,https://example.com/cloud-saas/salesforce/30256
2025-06-19,Microsoft Azure reports in cloud saas market,VentureBeat,neutral,0.161,https://example.com/cloud-saas/microsoft-azure/34779
2025-06-17,Oracle accelerates in cloud saas market,VentureBeat,positive,0.386,https://example.com/cloud-saas/oracle/2177
2025-06-13,Microsoft Azure mentions in cloud saas market,TechCrunch,neutral,0.102,https://example.com/cloud-saas/microsoft-azure/22907
2025-06-09,Microsoft Azure updates in cloud saas market,Engadget,neutral,0.116,https://example.com/cloud-saas/microsoft-azure/66444
2025-06-08,Oracle beats in cloud saas market,The Information,positive,0.986,https://example.com/cloud-saas/oracle/20484
2025-05-29,Oracle mentions in cloud saas market,VentureBeat,neutral,0.108,https://example.com/cloud-saas/oracle/20771
2025-05-29,Google Cloud tops in cloud saas market,Engadget,positive,0.857,https://example.com/cloud-saas/google-cloud/40833
2025-05-27,Microsoft Azure introduces in cloud saas market,Bloomberg,neutral,0.135,https://example.com/cloud-saas/microsoft-azure/98842
2025-05-13,Google Cloud states in cloud saas market,Wired,neutral,-0.038,https://example.com/cloud-saas/google-cloud/44821
2025-05-07,Google Cloud partners with in cloud saas market,Engadget,positive,0.739,https://example.com/cloud-saas/google-cloud/47643
2025-04-26,Microsoft Azure updates in cloud saas market,TechCrunch,neutral,-0.182,https://example.com/cloud-saas/microsoft-azure/66444
2025-04-03,Google Cloud expands in cloud saas market,TechCrunch,positive,0.464,https://example.com/cloud-saas/google-cloud/41197
2025-03-31,Microsoft Azure suffers in cloud saas market,VentureBeat,negative,-0.787,https://example.com/cloud-saas/microsoft-azure/53943
2025-03-21,Oracle tops in cloud saas market,Forbes,positive,0.633,https://example.com/cloud-saas/oracle/30946
2025-03-11,AWS reports in cloud saas market,Ars Technica,neutral,0.194,https://example.com/cloud-saas/aws/74709
2025-03-06,Microsoft Azure beats in cloud saas market,Protocol,positive,0.941,https://example.com/cloud-saas/microsoft-azure/2241
2025-03-03,Oracle files in cloud saas market,Forbes,neutral,-0.166,https://example.com/cloud-saas/oracle/37463
2025-02-22,Google Cloud reveals in cloud saas market,Engadget,neutral,-0.073,https://example.com/cloud-saas/google-cloud/1572
2025-02-21,AWS delays in cloud saas market,Reuters,negative,-0.279,https://example.com/cloud-saas/aws/97788
2025-01-16,Salesforce beats in cloud saas market,VentureBeat,positive,0.651,https://example.com/cloud-saas/salesforce/31822
2025-01-14,AWS wins in cloud saas market,Wall Street Journal,positive,0.633,https://example.com/cloud-saas/aws/69442
2025-01-12,Microsoft Azure announces in cloud saas market,VentureBeat,positive,0.392,https://example.com/cloud-saas/microsoft-azure/86654
2025-01-09,Microsoft Azure misses in cloud saas market,Engadget,negative,-0.782,https://example.com/cloud-saas/microsoft-azure/21587
2025-01-06,Oracle mentions in cloud saas market,Wired,neutral,-0.136,https://example.com/cloud-saas/oracle/20771
2025-01-02,Oracle tops in cloud saas market,Financial Times,positive,0.606,https://example.com/cloud-saas/oracle/30946
2024-12-29,Oracle faces probe in cloud saas market,Protocol,negative,-0.459,https://example.com/cloud-saas/oracle/46706
2024-12-28,Microsoft Azure mentions in cloud saas market,Reuters,neutral,0.023,https://example.com/cloud-saas/microsoft-azure/22907
2024-12-23,AWS faces probe in cloud saas market,Engadget,negative,-0.975,https://example.com/cloud-saas/aws/50955
2024-12-17,Microsoft Azure wins in cloud saas market,The Verge,positive,0.792,https://example.com/cloud-saas/microsoft-azure/21941
2024-12-08,Oracle updates in cloud saas market,Ars Technica,neutral,0.090,https://example.com/cloud-saas/oracle/11827
2024-12-06,AWS wins in cloud saas market,Protocol,positive,0.697,https://example.com/cloud-saas/aws/69442
2024-12-03,Microsoft Azure announces in cloud saas market,VentureBeat,positive,0.408,https://example.com/cloud-saas/microsoft-azure/86654
2024-11-24,Google Cloud faces probe in cloud saas market,Reuters,negative,-0.241,https://example.com/cloud-saas/google-cloud/11757
2024-11-21,Microsoft Azure downgrades in cloud saas market,Reuters,negative,-0.990,https://example.com/cloud-saas/microsoft-azure/73750
2024-11-20,Salesforce wins in cloud saas market,Forbes,positive,0.251,https://example.com/cloud-saas/salesforce/51756
2024-11-13,Google Cloud files in cloud saas market,Forbes,neutral,0.120,https://example.com/cloud-saas/google-cloud/27290
2024-11-13,Salesforce outperforms in cloud saas market,Engadget,positive,0.684,https://example.com/cloud-saas/salesforce/67463
2024-11-12,AWS announces in cloud saas market,Forbes,positive,0.904,https://example.com/cloud-saas/aws/9685
2024-11-12,Oracle updates in cloud saas market,Financial Times,neutral,0.065,https://example.com/cloud-saas/oracle/11827
2024-11-10,Oracle accelerates in cloud saas market,Ars Technica,positive,0.929,https://example.com/cloud-saas/oracle/2177
2024-11-08,Salesforce cuts in cloud saas market,TechCrunch,negative,-0.290,https://example.com/cloud-saas/salesforce/30145
2024-11-05,Salesforce reveals in cloud saas market,Reuters,neutral,-0.180,https://example.com/cloud-saas/salesforce/34732
2024-10-29,Google Cloud states in cloud saas market,Ars Technica,neutral,-0.107,https://example.com/cloud-saas/google-cloud/44821
2024-10-21,AWS accelerates in cloud saas market,Wired,positive,0.917,https://example.com/cloud-saas/aws/70024
2024-10-17,Google Cloud downgrades in cloud saas market,Forbes,negative,-0.377,https://example.com/cloud-saas/google-cloud/96181
2024-10-12,Microsoft Azure beats in cloud saas market,VentureBeat,positive,0.404,https://example.com/cloud-saas/microsoft-azure/2241
2024-10-11,Google Cloud beats in cloud saas market,Ars Technica,positive,0.713,https://example.com/cloud-saas/google-cloud/90927
2024-10-10,Oracle updates in cloud saas market,Wall Street Journal,neutral,-0.003,https://example.com/cloud-saas/oracle/11827
2024-10-06,Salesforce reports in cloud saas market,Wall Street Journal,neutral,-0.107,https://example.com/cloud-saas/salesforce/24975
2024-10-03,Oracle partners with in cloud saas market,TechCrunch,positive,0.529,https://example.com/cloud-saas/oracle/2768
2024-09-29,Oracle tops in cloud saas market,Wall Street Journal,positive,0.939,https://example.com/cloud-saas/oracle/30946
2024-09-27,AWS states in cloud saas market,Engadget,neutral,-0.155,https://example.com/cloud-saas/aws/9856
2024-09-24,Microsoft Azure delays in cloud saas market,Wall Street Journal,negative,-0.464,https://example.com/cloud-saas/microsoft-azure/29968
2024-09-19,Salesforce beats in cloud saas market,CNBC,positive,0.999,https://example.com/cloud-saas/salesforce/31822
2024-09-13,Salesforce misses in cloud saas market,The Verge,negative,-0.420,https://example.com/cloud-saas/salesforce/51150
2024-09-04,Salesforce reports in cloud saas market,The Verge,neutral,0.083,https://example.com/cloud-saas/salesforce/24975
2024-08-29,AWS warns in cloud saas market,Reuters,negative,-0.451,https://example.com/cloud-saas/aws/61055
2024-08-18,AWS launches in cloud saas market,TechCrunch,neutral,-0.040,https://example.com/cloud-saas/aws/55648
2024-08-13,AWS recalls in cloud saas market,Engadget,negative,-0.656,https://example.com/cloud-saas/aws/9199
2024-08-13,Microsoft Azure partners with in cloud saas market,Engadget,positive,0.238,https://example.com/cloud-saas/microsoft-azure/9976
2024-08-08,AWS wins in cloud saas market,Bloomberg,positive,0.968,https://example.com/cloud-saas/aws/69442
2024-07-31,Microsoft Azure tops in cloud saas market,The Information,positive,0.924,https://example.com/cloud-saas/microsoft-azure/11322
2024-07-19,Microsoft Azure warns in cloud saas market,TechCrunch,negative,-0.829,https://example.com/cloud-saas/microsoft-azure/38024
2024-07-10,Oracle warns in cloud saas market,Wall Street Journal,negative,-0.638,https://example.com/cloud-saas/oracle/75227
2024-07-10,Google Cloud partners with in cloud saas market,Wired,positive,0.757,https://example.com/cloud-saas/google-cloud/47643
2024-07-04,Google Cloud reports in cloud saas market,Protocol,neutral,-0.154,https://example.com/cloud-saas/google-cloud/41615
2024-06-27,Oracle launches in cloud saas market,Reuters,neutral,0.134,https://example.com/cloud-saas/oracle/24728
2024-06-27,Google Cloud faces probe in cloud saas market,Ars Technica,negative,-0.603,https://example.com/cloud-saas/google-cloud/11757
2024-06-25,Microsoft Azure outperforms in cloud saas market,The Verge,positive,0.624,https://example.com/cloud-saas/microsoft-azure/6147
2024-06-24,Microsoft Azure tops in cloud saas market,CNBC,positive,0.479,https://example.com/cloud-saas/microsoft-azure/11322
2024-06-06,AWS files in cloud saas market,Financial Times,neutral,0.088,https://example.com/cloud-saas/aws/91862
2024-06-02,Microsoft Azure beats in cloud saas market,Ars Technica,positive,0.447,https://example.com/cloud-saas/microsoft-azure/2241
2024-05-28,Google Cloud updates in cloud saas market,Protocol,neutral,0.056,https://example.com/cloud-saas/google-cloud/90436
2024-05-16,Microsoft Azure falls in cloud saas market,The Information,negative,-0.401,https://example.com/cloud-saas/microsoft-azure/15463
