date,headline,source,sentiment,sentiment_score,link
2025-09-20,Chainalysis launches in web3 market,Bloomberg,neutral,0.074,https://example.com/web3/chainalysis/1346
2025-09-16,Chainalysis outperforms in web3 market,The Verge,positive,0.458,https://example.com/web3/chainalysis/47957
2025-09-10,Chainalysis beats in web3 market,Forbes,positive,0.473,https://example.com/web3/chainalysis/32622
2025-09-10,Binance expands in web3 market,Reuters,positive,0.581,https://example.com/web3/binance/2348
2025-08-22,ConsenSys reveals in web3 market,Bloomberg,neutral,0.084,https://example.com/web3/consensys/58047
2025-08-20,Coinbase updates in web3 market,Forbes,neutral,-0.132,https://example.com/web3/coinbase/66109
2025-08-19,Binance reveals in web3 market,Protocol,neutral,-0.157,https://example.com/web3/binance/91961
2025-08-15,ConsenSys introduces in web3 market,Ars Technica,neutral,-0.174,https://example.com/web3/consensys/36819
2025-08-05,Chainalysis falls in web3 market,Protocol,negative,-0.805,https://example.com/web3/chainalysis/5014
2025-08-01,Binance outperforms in web3 market,Wall Street Journal,positive,0.422,https://example.com/web3/binance/6960
2025-07-28,Binance falls in web3 market,Engadget,negative,-0.252,https://example.com/web3/binance/83407
2025-07-15,ConsenSys announces in web3 market,Wall Street Journal,positive,0.944,https://example.com/web3/consensys/83417
2025-07-12,Chainalysis updates in web3 market,Wired,neutral,-0.008,https://example.com/web3/chainalysis/41338
2025-07-02,Chainalysis launches in web3 market,Financial Times,neutral,0.152,https://example.com/web3/chainalysis/1346
2025-06-28,ConsenSys tops in web3 market,The Verge,positive,0.795,https://example.com/web3/consensys/84137
2025-06-21,Polygon Labs announces in web3 market,Financial Times,positive,0.553,https://example.com/web3/polygon-labs/2828
2025-06-05,Polygon Labs wins in web3 market,Ars Technica,positive,0.634,https://example.com/web3/polygon-labs/67268
2025-06-04,ConsenSys notes in web3 market,Reuters,neutral,0.183,https://example.com/web3/consensys/76558
2025-06-03,Chainalysis reveals in web3 market,TechCrunch,neutral,-0.170,https://example.com/web3/chainalysis/78523
2025-05-28,Chainalysis states in web3 market,The Verge,neutral,-0.098,https://example.com/web3/chainalysis/15237
2025-05-27,Binance expands in web3 market,The Information,positive,0.700,https://example.com/web3/binance/2348
2025-05-14,Polygon Labs announces in web3 market,TechCrunch,positive,0.816,https://example.com/web3/polygon-labs/2828
2025-05-09,Coinbase tops in web3 market,Financial Times,positive,0.950,https://example.com/web3/coinbase/21822
2025-05-08,ConsenSys introduces in web3 market,The Information,neutral,-0.064,https://example.com/web3/consensys/36819
2025-05-07,Coinbase delays in web3 market,Ars Technica,negative,-0.837,https://example.com/web3/coinbase/56493
2025-05-06,Polygon Labs surges in web3 market,Reuters,positive,0.503,https://example.com/web3/polygon-labs/42314
2025-04-29,ConsenSys files in web3 market,VentureBeat,neutral,0.012,https://example.com/web3/consensys/61431
2025-04-20,Chainalysis notes in web3 market,Ars Technica,neutral,0.152,https://example.com/web3/chainalysis/1412
2025-04-09,Chainalysis states in web3 market,Reuters,neutral,-0.009,https://example.com/web3/chainalysis/15237
2025-04-08,Coinbase mentions in web3 market,Reuters,neutral,0.023,https://example.com/web3/coinbase/85699
2025-04-03,Binance surges in web3 market,The Verge,positive,0.787,https://example.com/web3/binance/2961
2025-04-02,Binance surges in web3 market,Financial Times,positive,0.888,https://example.com/web3/binance/2961
2025-04-01,Binance cuts in web3 market,CNBC,negative,-0.657,https://example.com/web3/binance/47927
2025-03-25,Coinbase tops in web3 market,Reuters,positive,0.248,https://example.com/web3/coinbase/21822
2025-03-16,Chainalysis recalls in web3 market,Ars Technica,negative,-0.700,https://example.com/web3/chainalysis/59393
2025-03-15,Polygon Labs surges in web3 market,Engadget,positive,0.696,https://example.com/web3/polygon-labs/42314
2025-03-07,Chainalysis tops in web3 market,Wall Street Journal,positive,0.553,https://example.com/web3/chainalysis/6616
