date,headline,source,sentiment,sentiment_score,link
2025-10-06,UiPath mentions in robotics market,The Verge,neutral,-0.150,https://example.com/robotics/uipath/85253
2025-10-05,iRobot launches in robotics market,The Information,neutral,0.002,https://example.com/robotics/irobot/58586
2025-09-30,Boston Dynamics cuts in robotics market,The Information,negative,-0.846,https://example.com/robotics/boston-dynamics/67477
2025-09-27,Boston Dynamics announces in robotics market,TechCrunch,positive,0.861,https://example.com/robotics/boston-dynamics/27982
2025-09-24,Boston Dynamics reports in robotics market,The Verge,neutral,-0.061,https://example.com/robotics/boston-dynamics/82707
2025-09-07,UiPath announces in robotics market,VentureBeat,positive,0.889,https://example.com/robotics/uipath/67703
2025-09-04,iRobot falls in robotics market,Wall Street Journal,negative,-0.574,https://example.com/robotics/irobot/95386
2025-08-26,ABB Robotics updates in robotics market,Wired,neutral,-0.084,https://example.com/robotics/abb-robotics/79593
2025-08-14,Fanuc announces in robotics market,Ars Technica,positive,0.712,https://example.com/robotics/fanuc/6159
2025-08-13,iRobot mentions in robotics market,Financial Times,neutral,0.091,https://example.com/robotics/irobot/21156
2025-08-09,ABB Robotics partners with in robotics market,VentureBeat,positive,0.469,https://example.com/robotics/abb-robotics/91113
2025-08-07,Boston Dynamics introduces in robotics market,TechCrunch,neutral,-0.002,https://example.com/robotics/boston-dynamics/89765
2025-07-21,iRobot reveals in robotics market,TechCrunch,neutral,0.173,https://example.com/robotics/irobot/97554
2025-07-20,Fanuc partners with in robotics market,Engadget,positive,0.921,https://example.com/robotics/fanuc/1732
2025-07-14,UiPath mentions in robotics market,TechCrunch,neutral,0.185,https://example.com/robotics/uipath/85253
2025-07-07,UiPath launches in robotics market,TechCrunch,neutral,0.172,https://example.com/robotics/uipath/20633
2025-07-03,Boston Dynamics expands in robotics market,Engadget,positive,0.730,https://example.com/robotics/boston-dynamics/53257
2025-06-26,iRobot outperforms in robotics market,CNBC,positive,0.817,https://example.com/robotics/irobot/72000
2025-06-19,iRobot announces in robotics market,The Information,positive,0.820,https://example.com/robotics/irobot/71963
2025-06-14,iRobot partners with in robotics market,CNBC,positive,0.739,https://example.com/robotics/irobot/70660
2025-06-05,UiPath notes in robotics market,Engadget,neutral,-0.199,https://example.com/robotics/uipath/19273
2025-06-04,Fanuc files in robotics market,CNBC,neutral,-0.135,https://example.com/robotics/fanuc/22522
2025-06-04,iRobot states in robotics market,VentureBeat,neutral,0.057,https://example.com/robotics/irobot/77470
2025-05-09,ABB Robotics falls in robotics market,Engadget,negative,-0.351,https://example.com/robotics/abb-robotics/26556
2025-05-08,UiPath cuts in robotics market,VentureBeat,negative,-0.896,https://example.com/robotics/uipath/13592
2025-05-03,iRobot reports in robotics market,Reuters,neutral,0.143,https://example.com/robotics/irobot/6533
2025-05-01,iRobot files in robotics market,Wired,neutral,0.187,https://example.com/robotics/irobot/80123
2025-04-21,Fanuc misses in robotics market,The Information,negative,-0.929,https://example.com/robotics/fanuc/77164
2025-04-16,Fanuc announces in robotics market,The Verge,positive,0.982,https://example.com/robotics/fanuc/6159
2025-04-13,ABB Robotics partners with in robotics market,Bloomberg,positive,0.845,https://example.com/robotics/abb-robotics/91113
2025-04-08,UiPath introduces in robotics market,Bloomberg,neutral,-0.154,https://example.com/robotics/uipath/95907
2025-04-07,iRobot surges in robotics market,Ars Technica,positive,0.380,https://example.com/robotics/irobot/52239
2025-04-05,iRobot notes in robotics market,Engadget,neutral,-0.011,https://example.com/robotics/irobot/31042
2025-03-25,UiPath outperforms in robotics market,Forbes,positive,0.656,https://example.com/robotics/uipath/56480
2025-03-24,Fanuc expands in robotics market,Forbes,positive,0.974,https://example.com/robotics/fanuc/66549
2025-03-22,Boston Dynamics falls in robotics market,Forbes,negative,-0.737,https://example.com/robotics/boston-dynamics/18061
2025-03-19,Fanuc accelerates in robotics market,The Verge,positive,0.973,https://example.com/robotics/fanuc/84893
2025-02-24,ABB Robotics recalls in robotics market,Wall Street Journal,negative,-0.865,https://example.com/robotics/abb-robotics/12768
