date,headline,source,sentiment,sentiment_score,link
2025-10-02,Niantic notes in ar vr market,Ars Technica,neutral,-0.084,https://example.com/ar-vr/niantic/13442
2025-10-02,Niantic states in ar vr market,Wall Street Journal,neutral,0.103,https://example.com/ar-vr/niantic/29349
2025-10-01,Meta (Reality Labs) launches in ar vr market,Reuters,neutral,-0.137,https://example.com/ar-vr/meta-(reality-labs)/30089
2025-10-01,Niantic accelerates in ar vr market,The Information,positive,0.236,https://example.com/ar-vr/niantic/60364
2025-09-21,Varjo suffers in ar vr market,VentureBeat,negative,-0.305,https://example.com/ar-vr/varjo/37503
2025-09-17,HTC Vive states in ar vr market,Bloomberg,neutral,0.073,https://example.com/ar-vr/htc-vive/69562
2025-09-11,Niantic beats in ar vr market,VentureBeat,positive,0.751,https://example.com/ar-vr/niantic/4429
2025-08-23,Magic Leap partners with in ar vr market,Engadget,positive,0.690,https://example.com/ar-vr/magic-leap/18633
2025-08-21,Meta (Reality Labs) files in ar vr market,Reuters,neutral,-0.022,https://example.com/ar-vr/meta-(reality-labs)/80750
2025-08-18,Varjo introduces in ar vr market,TechCrunch,neutral,0.142,https://example.com/ar-vr/varjo/75254
2025-08-18,Varjo states in ar vr market,CNBC,neutral,-0.150,https://example.com/ar-vr/varjo/75596
2025-08-12,Varjo reveals in ar vr market,Engadget,neutral,-0.120,https://example.com/ar-vr/varjo/47179
2025-08-11,Varjo reports in ar vr market,Engadget,neutral,0.073,https://example.com/ar-vr/varjo/35077
2025-08-09,Meta (Reality Labs) surges in ar vr market,Ars Technica,positive,0.398,https://example.com/ar-vr/meta-(reality-labs)/80335
2025-08-03,Magic Leap accelerates in ar vr market,CNBC,positive,0.360,https://example.com/ar-vr/magic-leap/28155
2025-08-02,Meta (Reality Labs) reports in ar vr market,Engadget,neutral,-0.145,https://example.com/ar-vr/meta-(reality-labs)/64750
2025-07-29,Niantic reveals in ar vr market,Forbes,neutral,0.082,https://example.com/ar-vr/niantic/43083
2025-07-26,HTC Vive notes in ar vr market,TechCrunch,neutral,-0.023,https://example.com/ar-vr/htc-vive/67244
2025-07-17,HTC Vive partners with in ar vr market,Bloomberg,positive,0.589,https://example.com/ar-vr/htc-vive/3534
2025-06-27,Magic Leap states in ar vr market,The Verge,neutral,0.061,https://example.com/ar-vr/magic-leap/36587
2025-06-21,Meta (Reality Labs) introduces in ar vr market,Reuters,neutral,-0.092,https://example.com/ar-vr/meta-(reality-labs)/75740
2025-06-20,Meta (Reality Labs) states in ar vr market,Protocol,neutral,0.013,https://example.com/ar-vr/meta-(reality-labs)/20790
2025-06-19,Meta (Reality Labs) cuts in ar vr market,The Verge,negative,-0.799,https://example.com/ar-vr/meta-(reality-labs)/57065
2025-06-15,Niantic notes in ar vr market,Wall Street Journal,neutral,-0.185,https://example.com/ar-vr/niantic/13442
2025-06-13,Magic Leap surges in ar vr market,Protocol,positive,0.917,https://example.com/ar-vr/magic-leap/3992
2025-06-05,Magic Leap introduces in ar vr market,Wall Street Journal,neutral,-0.071,https://example.com/ar-vr/magic-leap/95786
2025-06-04,Meta (Reality Labs) downgrades in ar vr market,VentureBeat,negative,-0.788,https://example.com/ar-vr/meta-(reality-labs)/86831
