date,headline,source,sentiment,sentiment_score,link
2025-09-26,Xiaomi launches in consumer electronics market,The Verge,neutral,-0.146,https://example.com/consumer-electronics/xiaomi/78181
2025-09-18,Samsung Electronics reports in consumer electronics market,Bloomberg,neutral,-0.095,https://example.com/consumer-electronics/samsung-electronics/66106
2025-09-07,LG Electronics downgrades in consumer electronics market,Engadget,negative,-0.717,https://example.com/consumer-electronics/lg-electronics/18119
2025-08-29,Samsung Electronics launches in consumer electronics market,Engadget,neutral,0.001,https://example.com/consumer-electronics/samsung-electronics/17236
2025-08-29,Xiaomi surges in consumer electronics market,Financial Times,positive,0.325,https://example.com/consumer-electronics/xiaomi/27264
2025-08-28,Xiaomi launches in consumer electronics market,The Information,neutral,0.130,https://example.com/consumer-electronics/xiaomi/78181
2025-08-28,Samsung Electronics wins in consumer electronics market,TechCrunch,positive,0.732,https://example.com/consumer-electronics/samsung-electronics/97468
2025-08-25,LG Electronics reports in consumer electronics market,CNBC,neutral,-0.042,https://example.com/consumer-electronics/lg-electronics/16576
2025-08-21,LG Electronics states in consumer electronics market,Forbes,neutral,0.024,https://example.com/consumer-electronics/lg-electronics/38509
2025-08-20,LG Electronics outperforms in consumer electronics market,Wall Street Journal,positive,0.384,https://example.com/consumer-electronics/lg-electronics/45885
2025-08-09,LG Electronics files in consumer electronics market,Engadget,neutral,-0.153,https://example.com/consumer-electronics/lg-electronics/27092
2025-07-20,Sony files in consumer electronics market,Financial Times,neutral,0.115,https://example.com/consumer-electronics/sony/32505
2025-07-15,LG Electronics falls in consumer electronics market,TechCrunch,negative,-0.239,https://example.com/consumer-electronics/lg-electronics/29618
2025-07-08,Samsung Electronics mentions in consumer electronics market,Engadget,neutral,0.158,https://example.com/consumer-electronics/samsung-electronics/82523
2025-07-02,Sony tops in consumer electronics market,CNBC,positive,0.810,https://example.com/consumer-electronics/sony/91694
2025-06-29,Samsung Electronics recalls in consumer electronics market,VentureBeat,negative,-0.229,https://example.com/consumer-electronics/samsung-electronics/7873
